frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
0,1777426356.511530,295.824,8.596,0.008,304.890,warmup,searching,33.63
1,1777426356.541104,24.214,2.477,2.510,29.492,warmup,searching,30.01
2,1777426356.572413,27.116,2.073,1.358,31.164,warmup,searching,27.96
3,1777426356.607373,29.892,2.397,2.265,34.820,warmup,searching,29.56
4,1777426356.639136,27.559,2.053,1.394,31.623,warmup,searching,27.95
5,1777426356.674040,29.774,2.448,2.274,34.765,warmup,searching,29.50
6,1777426356.705447,27.227,2.027,1.335,31.263,warmup,searching,27.48
7,1777426356.740368,29.881,2.412,2.221,34.777,warmup,searching,29.10
8,1777426356.772226,27.660,2.060,1.381,31.718,warmup,searching,27.58
9,1777426356.807165,29.899,2.395,2.244,34.801,warmup,searching,29.17
10,1777426356.839016,27.563,2.017,1.527,31.712,warmup,searching,27.65
11,1777426356.873872,29.649,2.455,2.355,34.719,warmup,searching,29.15
12,1777426356.905639,27.532,2.015,1.394,31.626,warmup,searching,27.55
13,1777426356.940557,29.821,2.420,2.289,34.779,warmup,searching,29.10
14,1777426356.972394,27.605,2.071,1.408,31.693,warmup,searching,27.57
15,1777426357.007313,29.709,2.411,2.398,34.777,warmup,searching,29.13
16,1777426357.039130,27.590,2.002,1.493,31.679,warmup,searching,27.58
17,1777426357.073945,29.714,2.399,2.304,34.674,warmup,searching,29.03
18,1777426357.105786,27.621,2.011,1.424,31.698,warmup,searching,27.51
19,1777426357.141929,30.989,2.442,2.320,36.004,warmup,searching,30.29
20,1777426357.172533,26.345,2.042,1.489,30.461,warmup,searching,27.53
21,1777426357.207591,29.850,2.399,2.401,34.921,warmup,searching,29.22
22,1777426357.239327,27.440,2.008,1.535,31.597,warmup,searching,27.58
23,1777426357.274341,29.750,2.442,2.424,34.874,warmup,searching,29.24
24,1777426357.305584,27.292,2.030,1.485,31.103,warmup,searching,27.12
25,1777426357.339360,29.818,2.062,1.520,33.636,warmup,searching,27.53
26,1777426357.372529,29.102,2.069,1.606,33.026,warmup,searching,27.33
27,1777426357.407667,31.080,2.065,1.609,34.998,warmup,searching,29.11
28,1777426357.439290,27.535,2.054,1.650,31.481,warmup,searching,27.36
29,1777426357.472697,29.260,2.069,1.687,33.266,warmup,acquiring,27.41
30,1777426357.519769,29.244,2.017,1.657,46.916,12.157,0.009,1.417,active,tracking,41.11,-10.88,2.52,4,1
31,1777426357.646273,15.690,2.398,,126.357,,,,107.915,settle,tracking,134.24,,,,,3
32,1777426357.745198,1.968,2.067,,98.786,,,,94.431,settle,tracking,133.09,,,,,2
33,1777426357.841341,2.042,2.065,,96.010,,,,91.616,settle,tracking,129.15,,,,,1
34,1777426357.936766,1.960,2.072,,95.273,,,,90.964,settle,tracking,124.48,,,,,0
35,1777426358.032111,1.943,1.999,,95.220,,0.007,,90.961,active,tracking,119.72,,,,0,
36,1777426358.151878,2.267,2.372,,119.618,,21.386,,90.998,active,lost,172.76,,,,0,
37,1777426358.159533,2.070,2.165,2.984,7.509,,0.005,,,active,acquiring,46.96,,,,0,
38,1777426358.188705,10.539,2.027,2.068,29.020,12.578,0.005,1.404,,active,tracking,42.78,-5.08,0.16,2,1,
39,1777426358.323189,13.941,2.174,,134.347,,,,117.912,settle,tracking,143.88,,,,,1
40,1777426358.548844,2.070,2.088,,225.503,,,,221.023,settle,tracking,269.45,,,,,0
41,1777426358.777490,2.092,2.033,,228.499,,4.647,,219.396,active,tracking,264.54,,,,0,
42,1777426359.001873,1.990,2.070,,224.243,,0.006,,219.785,active,tracking,255.36,,,,0,
43,1777426359.119648,2.191,2.093,,117.430,,0.007,,110.921,active,lost,172.96,,,,0,
44,1777426359.131625,2.218,2.022,2.790,11.830,,4.510,,,active,acquiring,51.48,,,,0,
45,1777426359.149102,8.275,2.065,2.077,17.333,3.135,0.004,1.407,,active,tracking,35.61,-2.72,-3.28,2,1,
46,1777426359.213947,21.183,2.195,,64.703,,,,40.945,settle,tracking,67.07,,,,,1
47,1777426359.281117,2.004,2.070,,67.027,,,,62.602,settle,tracking,100.87,,,,,0
48,1777426359.347956,2.046,2.034,,66.688,,0.004,1.401,60.797,active,tracking,101.00,-1.88,-2.56,2,1,
49,1777426359.413445,2.000,2.029,,65.354,,,,60.922,settle,tracking,99.69,,,,,1
50,1777426359.478466,2.070,2.042,,64.870,,,,60.416,settle,tracking,98.03,,,,,0
51,1777426359.548383,2.049,2.069,,69.765,,4.614,,60.674,active,tracking,101.22,,,,0,
52,1777426359.613528,2.006,2.015,,64.977,,0.005,,60.531,active,tracking,99.63,,,,0,
53,1777426359.680120,2.063,2.066,,66.442,,0.005,1.419,60.529,active,tracking,99.52,1.52,-1.04,2,1,
54,1777426359.745117,2.064,2.004,,64.863,,,,60.456,settle,tracking,97.76,,,,,1
