frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
68,1777427216.388718,14.424,1.989,,32.888,,16.155,0.005,,active,tracking,42.00,,,,0,
69,1777427216.426620,14.748,2.041,,37.757,,16.159,4.475,,active,tracking,46.53,,,,0,
70,1777427216.455784,10.472,2.035,,29.023,,16.191,0.005,,active,tracking,42.33,,,,0,
71,1777427216.488991,14.533,1.997,,33.064,,16.211,0.005,,active,tracking,42.18,,,,0,
72,1777427216.527357,15.196,2.040,,38.224,,16.208,4.448,,active,tracking,47.18,,,,0,
73,1777427216.555795,9.793,2.037,,28.294,,16.137,0.005,,active,tracking,42.25,,,,0,
74,1777427216.590326,14.500,2.003,,34.387,,16.144,0.004,1.402,active,tracking,43.43,-1.44,0.40,2,1,
75,1777427216.622202,13.221,2.038,,31.753,,16.186,,,settle,tracking,41.93,,,,,1
76,1777427216.655894,15.092,1.991,,33.552,,16.155,,,settle,tracking,42.26,,,,,0
77,1777427216.694924,14.504,1.987,,38.886,,16.173,4.488,1.385,active,tracking,47.93,-1.60,0.56,2,1,
78,1777427216.722541,9.004,2.037,,27.488,,16.135,,,settle,tracking,42.17,,,,,1
79,1777427216.755720,14.478,2.031,,33.040,,16.217,,,settle,tracking,41.99,,,,,0
80,1777427216.789024,14.689,1.992,,33.163,,16.157,0.005,,active,tracking,41.93,,,,0,
81,1777427216.822446,14.713,2.051,,33.280,,16.194,0.004,,active,tracking,41.99,,,,0,
82,1777427216.860930,15.316,1.994,,38.338,,16.195,4.497,,active,tracking,47.11,,,,0,
83,1777427216.889400,9.844,2.016,,28.279,,16.094,0.004,,active,tracking,42.15,,,,0,
84,1777427216.922583,14.506,2.052,,33.045,,16.166,0.004,,active,tracking,42.03,,,,0,
85,1777427216.960351,14.636,1.987,,37.627,,16.156,4.472,,active,tracking,46.44,,,,0,
86,1777427216.989440,10.459,1.991,,28.950,,16.129,0.004,,active,tracking,42.15,,,,0,
87,1777427217.022681,14.525,2.043,,33.102,,16.208,0.005,,active,tracking,42.03,,,,0,
88,1777427217.060746,14.924,2.017,,37.922,,16.157,4.490,,active,tracking,46.74,,,,0,
89,1777427217.089570,10.206,1.997,,28.682,,16.106,0.006,,active,tracking,42.20,,,,0,
90,1777427217.123979,14.359,2.043,,34.272,,17.540,0.005,,active,tracking,43.24,,,,0,
91,1777427217.161802,13.574,3.120,,37.680,,16.132,4.519,,active,tracking,47.68,,,,0,
92,1777427217.191227,10.805,2.068,,29.288,,16.090,0.005,,active,tracking,43.76,,,,0,
93,1777427217.222925,12.977,2.048,,31.555,,16.208,0.005,,active,tracking,42.09,,,,0,
94,1777427217.260764,14.658,2.002,,37.696,,16.213,4.491,,active,tracking,46.57,,,,0,
95,1777427217.291694,12.288,2.030,,30.791,,16.144,0.005,,active,tracking,44.13,,,,0,
96,1777427217.323084,12.560,2.064,,31.243,,16.296,0.005,,active,tracking,42.15,,,,0,
97,1777427217.360877,14.579,1.990,,37.652,,16.255,4.492,,active,tracking,46.59,,,,0,
98,1777427217.391242,10.266,2.018,,30.221,,16.206,0.006,1.387,active,tracking,43.60,-1.52,0.92,2,1,
99,1777427217.423060,13.115,2.031,,31.666,,16.209,,,settle,tracking,42.04,,,,,1
100,1777427217.456618,14.881,2.008,,33.416,,16.216,,,settle,tracking,42.23,,,,,0
101,1777427217.491206,14.507,1.994,,34.445,,16.221,0.004,1.387,active,tracking,43.47,-2.12,0.92,2,1,
102,1777427217.523675,13.829,2.041,,32.345,,16.165,,,settle,tracking,42.56,,,,,1
103,1777427217.556435,14.102,1.995,,32.621,,16.214,,,settle,tracking,41.95,,,,,0
104,1777427217.595771,14.759,1.987,,39.193,,16.194,4.484,1.378,active,tracking,47.94,-2.68,0.72,2,1,
