frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
281,1777427224.092997,2.022,1.985,,35.851,,31.514,0.005,,active,tracking,72.43,,,,0,
282,1777427224.132318,2.007,2.000,,39.175,,34.841,0.005,,active,tracking,78.39,,,,0,
283,1777427224.173416,2.076,2.018,,40.894,,31.913,4.549,,active,tracking,86.06,,,,0,
284,1777427224.210595,2.104,2.246,,37.025,,32.308,0.005,,active,tracking,89.94,,,,0,
285,1777427224.248197,2.221,2.043,,37.288,,32.712,0.004,,active,tracking,94.18,,,,0,
286,1777427224.289238,2.099,2.001,,40.881,,32.133,4.331,,active,tracking,68.49,,,,0,
287,1777427224.325283,2.006,2.047,,35.861,,31.476,0.005,,active,tracking,71.17,,,,0,
288,1777427224.361305,1.959,2.056,,35.798,,31.454,0.004,,active,tracking,73.82,,,,0,
289,1777427224.402156,1.930,2.063,,40.661,,31.652,4.631,,active,tracking,81.30,,,,0,
290,1777427224.438837,2.099,2.122,,36.537,,31.972,0.004,,active,tracking,84.62,,,,0,
291,1777427224.475932,2.061,2.144,,36.943,,32.399,0.005,,active,tracking,88.35,,,,0,
292,1777427224.518415,2.309,2.358,,42.332,,32.429,4.859,,active,tracking,97.47,,,,0,
293,1777427224.554388,1.940,2.094,,35.845,,31.487,0.005,,active,tracking,66.72,,,,0,
294,1777427224.590424,1.941,2.079,,35.893,,31.554,0.005,,active,tracking,69.39,,,,0,
295,1777427224.630874,1.938,2.073,,40.306,,31.431,4.532,,active,tracking,76.48,,,,0,
296,1777427224.667548,2.058,2.194,,36.533,,31.939,0.005,,active,tracking,79.78,,,,0,
297,1777427224.704145,2.008,2.073,,36.456,,32.031,0.005,,active,tracking,83.00,,,,0,
298,1777427224.745675,2.139,2.080,,41.381,,32.185,4.643,,active,tracking,91.19,,,,0,
299,1777427224.782711,2.144,2.055,,36.911,,32.391,0.004,,active,tracking,61.49,,,,0,
300,1777427224.819847,2.053,2.141,,36.474,,31.961,0.005,,active,tracking,65.26,,,,0,
301,1777427224.860695,1.933,2.021,,40.705,,31.872,4.543,,active,tracking,72.75,,,,0,
302,1777427224.896818,2.043,2.041,,35.978,,31.558,0.005,,active,tracking,75.51,,,,0,
303,1777427224.933069,1.984,2.032,,36.110,,31.770,0.005,,active,tracking,78.38,,,,0,
304,1777427224.974178,2.090,2.016,,40.960,,31.852,4.568,,active,tracking,86.13,,,,0,
305,1777427225.011187,2.123,2.173,,36.862,,32.218,0.006,,active,tracking,89.77,,,,0,
306,1777427225.048853,2.254,2.042,,37.354,,32.447,0.005,,active,tracking,94.09,,,,0,
307,1777427225.090155,2.193,2.001,,41.177,,32.143,4.475,,active,tracking,68.66,,,,0,
308,1777427225.128962,2.001,2.069,,38.666,,34.270,0.004,,active,tracking,74.09,,,,0,
309,1777427225.165177,1.985,2.001,,36.072,,31.758,0.006,,active,tracking,76.95,,,,0,
310,1777427225.206520,2.024,2.133,,41.199,,32.140,4.548,,active,tracking,84.92,,,,0,
311,1777427225.243652,2.130,2.197,,36.982,,32.313,0.005,,active,tracking,88.68,,,,0,
312,1777427225.281119,2.146,2.354,,37.318,,32.494,0.004,,active,tracking,92.80,,,,0,
313,1777427225.323064,2.320,2.047,,41.531,,32.361,4.478,,active,tracking,68.01,,,,0,
314,1777427225.359067,1.994,2.045,,35.864,,31.493,0.006,,active,tracking,70.65,,,,0,
315,1777427225.395081,1.942,2.045,,35.873,,31.556,0.004,,active,tracking,73.30,,,,0,
316,1777427225.435598,1.936,2.038,,40.375,,31.549,4.514,,active,tracking,80.44,,,,0,
317,1777427225.472201,2.109,2.076,,36.460,,31.930,0.005,,active,tracking,83.68,,,,0,
318,1777427225.509154,2.115,2.107,,36.805,,32.245,0.004,,active,tracking,87.28,,,,0,
319,1777427225.551462,2.123,2.138,,42.156,,32.511,4.891,,active,tracking,96.22,,,,0,
320,1777427225.587732,1.961,2.054,,36.131,,31.787,0.004,,active,tracking,65.76,,,,0,
321,1777427225.623892,1.969,2.021,,36.018,,31.699,0.005,,active,tracking,68.56,,,,0,
322,1777427225.664544,2.000,2.033,,40.508,,31.522,4.618,,active,tracking,75.84,,,,0,
323,1777427225.701154,2.061,2.160,,36.464,,31.890,0.005,,active,tracking,79.07,,,,0,
324,1777427225.737702,2.045,2.146,,36.402,,31.869,0.005,,active,tracking,82.26,,,,0,
325,1777427225.779477,2.075,2.127,,41.632,,32.275,4.813,,active,tracking,90.69,,,,0,
326,1777427225.816669,2.045,2.020,,37.025,,32.655,0.005,,active,tracking,94.52,,,,0,
327,1777427225.853559,2.056,2.010,,36.761,,32.331,0.005,,active,tracking,64.67,,,,0,
328,1777427225.894211,1.908,2.063,,40.518,,31.494,4.676,,active,tracking,71.96,,,,0,
329,1777427225.930651,2.018,2.069,,36.297,,31.882,0.004,,active,tracking,75.04,,,,0,
330,1777427225.967051,1.963,2.058,,36.254,,31.904,0.004,,active,tracking,78.06,,,,0,
331,1777427226.008585,1.979,2.018,,41.386,,32.350,4.697,,active,tracking,86.22,,,,0,
332,1777427226.045559,2.187,2.106,,36.820,,32.154,0.005,,active,tracking,89.84,,,,0,
333,1777427226.083075,2.222,2.102,,37.204,,32.554,0.005,,active,tracking,94.00,,,,0,
334,1777427226.129097,1.972,2.047,,45.845,,36.902,4.591,,active,tracking,106.67,,,,0,
335,1777427226.165205,2.042,2.016,,35.963,,31.505,0.004,,active,tracking,76.04,,,,0,
336,1777427226.201759,1.940,2.263,,36.339,,31.787,0.004,,active,tracking,79.21,,,,0,
337,1777427226.243356,1.981,2.127,,41.454,,32.225,4.780,,active,tracking,87.46,,,,0,
338,1777427226.281154,2.261,2.416,,37.650,,32.635,0.004,,active,tracking,91.90,,,,0,
339,1777427226.318120,2.006,2.077,,36.793,,32.388,0.004,,active,tracking,95.50,,,,0,
340,1777427226.359105,2.021,2.075,,40.813,,31.809,4.580,,active,tracking,69.75,,,,0,
341,1777427226.395174,2.001,2.059,,35.926,,31.535,0.004,,active,tracking,72.46,,,,0,
342,1777427226.431403,1.933,2.053,,36.089,,31.774,0.005,,active,tracking,75.32,,,,0,
343,1777427226.472213,1.994,2.030,,40.663,,31.733,4.562,,active,tracking,82.75,,,,0,
344,1777427226.509003,2.204,2.069,,36.637,,32.024,0.006,,active,tracking,86.17,,,,0,
345,1777427226.546222,2.097,2.140,,37.071,,32.490,0.006,,active,tracking,90.04,,,,0,
346,1777427226.588597,2.220,2.054,,42.057,,32.709,4.756,,active,tracking,99.06,,,,0,
347,1777427226.624731,2.011,2.033,,35.990,,31.617,0.004,,active,tracking,68.46,,,,0,
348,1777427226.660688,1.985,2.021,,35.814,,31.480,0.005,,active,tracking,71.05,,,,0,
349,1777427226.701490,1.982,2.045,,40.657,,31.624,4.673,,active,tracking,78.48,,,,0,
350,1777427226.738145,2.099,2.105,,36.506,,31.969,0.006,,active,tracking,81.77,,,,0,
351,1777427226.775007,2.046,2.140,,36.713,,32.183,0.006,,active,tracking,85.26,,,,0,
352,1777427226.816724,2.051,2.267,,41.568,,32.156,4.754,,active,tracking,93.63,,,,0,
353,1777427226.853430,1.976,1.987,,36.569,,32.228,0.005,,active,tracking,63.56,,,,0,
354,1777427226.889678,1.858,2.065,,36.114,,31.819,0.005,,active,tracking,66.49,,,,0,
355,1777427226.930280,1.937,2.050,,40.464,,31.658,4.493,,active,tracking,73.73,,,,0,
356,1777427226.966580,2.008,2.093,,36.156,,31.727,0.005,,active,tracking,76.67,,,,0,
357,1777427227.003273,2.002,2.115,,36.548,,32.091,0.006,,active,tracking,79.98,,,,0,
358,1777427227.044550,1.989,2.122,,41.134,,32.080,4.600,,active,tracking,87.91,,,,0,
359,1777427227.082419,2.300,2.411,,37.714,,32.622,0.005,,active,tracking,92.41,,,,0,
360,1777427227.125223,2.002,2.019,,40.864,,36.508,0.006,,active,tracking,68.48,,,,0,
361,1777427227.165982,1.947,2.001,,40.578,,31.716,4.492,,active,tracking,75.88,,,,0,
362,1777427227.202866,2.029,2.314,,36.741,,32.060,0.005,,active,tracking,79.40,,,,0,
363,1777427227.239687,1.971,2.117,,36.680,,32.254,0.005,,active,tracking,82.84,,,,0,
364,1777427227.281250,2.111,2.055,,41.419,,32.214,4.698,,active,tracking,91.06,,,,0,
365,1777427227.318395,2.173,2.061,,36.998,,32.450,0.004,,active,tracking,61.48,,,,0,
366,1777427227.354945,1.902,2.032,,36.418,,32.161,0.004,,active,tracking,64.66,,,,0,
367,1777427227.395429,1.915,2.095,,40.343,,31.547,4.451,,active,tracking,71.76,,,,0,
368,1777427227.431847,2.054,2.024,,36.279,,31.874,0.005,,active,tracking,74.83,,,,0,
369,1777427227.468142,1.990,2.041,,36.152,,31.791,0.005,,active,tracking,77.75,,,,0,
370,1777427227.509241,2.038,2.059,,40.951,,31.987,4.550,,active,tracking,85.48,,,,0,
371,1777427227.546389,2.123,2.103,,36.942,,32.357,0.007,,active,tracking,89.26,,,,0,
372,1777427227.583968,2.519,2.022,,37.439,,32.560,0.004,,active,tracking,93.49,,,,0,
373,1777427227.625760,2.318,2.008,,41.405,,32.289,4.481,,active,tracking,68.56,,,,0,
374,1777427227.661934,1.986,2.062,,36.032,,31.661,0.004,,active,tracking,71.36,,,,0,
375,1777427227.698179,1.937,2.054,,36.104,,31.786,0.005,,active,tracking,74.25,,,,0,
376,1777427227.738966,1.946,2.151,,40.641,,31.710,4.500,,active,tracking,81.65,,,,0,
377,1777427227.775712,2.110,2.118,,36.595,,32.025,0.004,,active,tracking,85.03,,,,0,
378,1777427227.812801,2.115,2.084,,36.940,,32.396,0.004,,active,tracking,88.75,,,,0,
379,1777427227.855243,2.114,2.429,,42.290,,32.639,4.781,,active,tracking,97.84,,,,0,
380,1777427227.891259,1.951,2.001,,35.878,,31.594,0.005,,active,tracking,67.14,,,,0,
381,1777427227.927477,1.933,2.085,,36.080,,31.735,0.004,,active,tracking,70.00,,,,0,
382,1777427227.968091,1.993,2.039,,40.469,,31.656,4.452,,active,tracking,77.23,,,,0,
383,1777427228.004830,2.114,2.062,,36.559,,32.064,0.004,,active,tracking,80.62,,,,0,
384,1777427228.041457,2.040,2.085,,36.497,,31.969,0.006,,active,tracking,83.86,,,,0,
385,1777427228.083033,2.057,2.115,,41.434,,32.292,4.631,,active,tracking,92.09,,,,0,
386,1777427228.124383,1.915,2.036,,41.222,,36.927,0.005,,active,tracking,66.71,,,,0,
387,1777427228.160727,1.989,2.017,,36.201,,31.868,0.005,,active,tracking,69.69,,,,0,
388,1777427228.201326,2.040,2.029,,40.445,,31.608,4.435,,active,tracking,76.93,,,,0,
389,1777427228.238089,2.016,2.105,,36.556,,32.105,0.005,,active,tracking,80.31,,,,0,
390,1777427228.274753,1.960,2.135,,36.532,,32.095,0.006,,active,tracking,83.61,,,,0,
391,1777427228.316384,2.049,2.093,,41.481,,32.399,4.601,,active,tracking,91.90,,,,0,
392,1777427228.352980,1.962,2.002,,36.466,,32.178,0.006,,active,tracking,61.76,,,,0,
393,1777427228.389236,1.942,1.973,,36.116,,31.881,0.005,,active,tracking,64.64,,,,0,
394,1777427228.429663,1.911,2.015,,40.236,,31.425,4.507,,active,tracking,71.71,,,,0,
395,1777427228.466277,2.005,2.077,,36.471,,32.060,0.004,,active,tracking,74.96,,,,0,
396,1777427228.502583,1.930,2.095,,36.171,,31.810,0.005,,active,tracking,77.89,,,,0,
397,1777427228.543876,2.018,2.090,,41.151,,32.083,4.617,,active,tracking,85.80,,,,0,
398,1777427228.580954,2.176,2.090,,36.927,,32.312,0.006,,active,tracking,89.53,,,,0,
399,1777427228.618699,2.245,2.042,,37.429,,32.543,0.005,,active,tracking,93.93,,,,0,
400,1777427228.660001,2.151,2.019,,41.178,,32.176,4.523,,active,tracking,68.50,,,,0,
401,1777427228.696135,2.057,2.012,,35.993,,31.593,0.006,,active,tracking,71.26,,,,0,
402,1777427228.732125,1.996,2.021,,35.846,,31.501,0.005,,active,tracking,73.89,,,,0,
403,1777427228.772970,1.995,2.011,,40.698,,31.748,4.608,,active,tracking,81.37,,,,0,
404,1777427228.809560,2.153,2.129,,36.436,,31.755,0.005,,active,tracking,84.58,,,,0,
405,1777427228.846759,2.062,2.118,,37.057,,32.538,0.004,,active,tracking,88.43,,,,0,
406,1777427228.889248,2.138,2.468,,42.338,,32.579,4.818,,active,tracking,97.56,,,,0,
407,1777427228.925274,1.970,2.058,,35.840,,31.479,0.005,,active,tracking,66.85,,,,0,
408,1777427228.961520,1.942,2.054,,36.073,,31.703,0.006,,active,tracking,69.72,,,,0,
409,1777427229.002270,1.933,2.112,,40.615,,31.670,4.563,,active,tracking,77.12,,,,0,
410,1777427229.038807,2.020,2.141,,36.394,,31.898,0.005,,active,tracking,80.28,,,,0,
411,1777427229.075491,1.906,2.077,,36.553,,32.234,0.006,,active,tracking,83.60,,,,0,
412,1777427229.118382,2.105,2.102,,42.737,,33.154,5.012,,active,tracking,93.12,,,,0,
413,1777427229.156328,3.201,2.005,,37.753,,32.221,0.005,,active,tracking,64.35,,,,0,
414,1777427229.192205,1.966,2.006,,35.735,,31.434,0.006,,active,tracking,66.86,,,,0,
415,1777427229.233131,1.968,2.033,,40.786,,31.977,4.477,,active,tracking,74.42,,,,0,
416,1777427229.269428,2.062,2.058,,36.146,,31.641,0.005,,active,tracking,77.31,,,,0,
417,1777427229.305894,1.974,2.094,,36.328,,31.956,0.004,,active,tracking,80.46,,,,0,
418,1777427229.347144,2.000,2.120,,41.121,,32.044,4.611,,active,tracking,88.33,,,,0,
419,1777427229.384837,2.189,2.326,,37.541,,32.674,0.005,,active,tracking,92.68,,,,0,
420,1777427229.422805,1.953,2.026,,36.338,,32.058,0.004,,active,tracking,63.92,,,,0,
421,1777427229.463607,1.920,2.180,,40.660,,31.726,4.501,,active,tracking,71.35,,,,0,
422,1777427229.499749,2.050,2.039,,35.996,,31.573,0.005,,active,tracking,74.13,,,,0,
423,1777427229.536071,1.982,2.018,,36.180,,31.854,0.005,,active,tracking,77.09,,,,0,
424,1777427229.576768,2.008,2.039,,40.554,,31.673,4.489,,active,tracking,84.41,,,,0,
425,1777427229.613898,2.158,2.113,,36.980,,32.370,0.005,,active,tracking,88.17,,,,0,
426,1777427229.651571,2.166,2.498,,37.530,,32.515,0.005,,active,tracking,92.49,,,,0,
427,1777427229.692997,2.002,2.025,,41.292,,32.490,4.426,,active,tracking,100.56,,,,0,
428,1777427229.729151,2.035,2.019,,36.013,,31.631,0.005,,active,tracking,69.98,,,,0,
429,1777427229.765515,1.981,2.009,,36.224,,31.859,0.006,,active,tracking,72.98,,,,0,
430,1777427229.806152,1.938,2.069,,40.502,,31.749,4.415,,active,tracking,80.24,,,,0,
431,1777427229.842929,2.093,2.125,,36.616,,32.053,0.006,,active,tracking,83.64,,,,0,
432,1777427229.879932,2.064,2.123,,36.854,,32.330,0.005,,active,tracking,87.30,,,,0,
433,1777427229.922142,2.113,2.123,,42.061,,32.397,4.939,,active,tracking,96.15,,,,0,
434,1777427229.958408,1.901,2.070,,36.129,,31.837,0.004,,active,tracking,65.68,,,,0,
435,1777427229.994469,1.926,2.093,,35.919,,31.578,0.004,,active,tracking,68.39,,,,0,
436,1777427230.034975,1.959,2.105,,40.361,,31.540,4.423,,active,tracking,75.50,,,,0,
437,1777427230.071448,2.001,2.182,,36.333,,31.794,0.006,,active,tracking,78.62,,,,0,
438,1777427230.107910,2.065,2.102,,36.318,,31.814,0.005,,active,tracking,81.71,,,,0,
439,1777427230.153400,2.301,2.059,,45.291,,35.830,4.734,,active,tracking,93.81,,,,0,
440,1777427230.190333,1.932,2.061,,36.791,,32.478,0.005,,active,tracking,64.06,,,,0,
441,1777427230.226663,1.924,2.059,,36.188,,31.870,0.005,,active,tracking,67.02,,,,0,
442,1777427230.267313,1.922,2.059,,40.513,,31.760,4.433,,active,tracking,74.31,,,,0,
443,1777427230.303622,2.073,2.026,,36.163,,31.730,0.005,,active,tracking,77.26,,,,0,
444,1777427230.339975,1.995,2.057,,36.212,,31.839,0.005,,active,tracking,80.23,,,,0,
445,1777427230.381441,2.028,2.094,,41.333,,32.192,4.617,,active,tracking,88.34,,,,0,
446,1777427230.419045,2.182,2.417,,37.454,,32.469,0.004,,active,tracking,92.59,,,,0,
447,1777427230.456040,1.966,2.022,,36.856,,32.537,0.005,,active,tracking,96.21,,,,0,
448,1777427230.496882,1.857,2.033,,40.538,,31.892,4.422,,active,tracking,70.33,,,,0,
449,1777427230.533290,2.028,2.009,,36.264,,31.900,0.006,,active,tracking,73.37,,,,0,
450,1777427230.569417,1.931,2.066,,35.941,,31.567,0.005,,active,tracking,76.08,,,,0,
451,1777427230.610291,1.934,2.201,,40.735,,31.728,4.527,,active,tracking,83.64,,,,0,
452,1777427230.647577,2.126,2.110,,37.135,,32.556,0.005,,active,tracking,87.56,,,,0,
453,1777427230.685708,2.110,2.945,,37.982,,32.599,0.006,,active,tracking,92.33,,,,0,
454,1777427230.727373,1.977,2.038,,41.527,,32.435,4.745,,active,tracking,100.64,,,,0,
455,1777427230.763687,2.023,2.031,,36.174,,31.797,0.005,,active,tracking,70.22,,,,0,
456,1777427230.799869,1.982,2.020,,36.037,,31.708,0.005,,active,tracking,73.04,,,,0,
457,1777427230.840501,1.987,2.057,,40.492,,31.647,4.471,,active,tracking,80.29,,,,0,
458,1777427230.877191,2.132,2.069,,36.552,,32.010,0.005,,active,tracking,83.62,,,,0,
459,1777427230.914125,2.093,2.122,,36.785,,32.225,0.004,,active,tracking,87.18,,,,0,
460,1777427230.956333,2.093,2.143,,42.062,,32.575,4.755,,active,tracking,96.04,,,,0,
461,1777427230.992717,1.949,2.040,,36.247,,31.929,0.006,,active,tracking,65.69,,,,0,
462,1777427231.028652,1.955,2.025,,35.791,,31.485,0.005,,active,tracking,68.27,,,,0,
463,1777427231.069276,2.005,1.995,,40.478,,31.598,4.555,,active,tracking,75.52,,,,0,
464,1777427231.105857,2.033,2.159,,36.390,,31.852,0.006,,active,tracking,78.72,,,,0,
465,1777427231.145956,2.263,2.472,,39.958,,34.871,0.005,,active,tracking,85.46,,,,0,
466,1777427231.188656,2.075,2.225,,42.555,,33.397,4.512,,active,tracking,94.81,,,,0,
467,1777427231.225324,1.989,1.986,,36.530,,32.242,0.005,,active,tracking,64.75,,,,0,
468,1777427231.261435,1.938,2.066,,35.929,,31.557,0.006,,active,tracking,67.48,,,,0,
469,1777427231.302141,1.933,2.047,,40.571,,31.710,4.491,,active,tracking,74.84,,,,0,
470,1777427231.338492,2.002,2.077,,36.211,,31.802,0.004,,active,tracking,77.80,,,,0,
471,1777427231.375028,2.011,2.053,,36.393,,31.996,0.006,,active,tracking,80.98,,,,0,
472,1777427231.416363,2.003,2.123,,41.193,,32.045,4.681,,active,tracking,88.96,,,,0,
473,1777427231.453959,2.427,2.051,,37.448,,32.627,0.004,,active,tracking,93.20,,,,0,
474,1777427231.491065,1.943,2.053,,36.986,,32.613,0.004,,active,tracking,96.95,,,,0,
475,1777427231.531934,1.874,2.077,,40.750,,31.970,4.500,,active,tracking,71.05,,,,0,
476,1777427231.568100,2.051,2.030,,36.025,,31.615,0.005,,active,tracking,73.88,,,,0,
477,1777427231.604361,1.990,2.008,,36.118,,31.793,0.004,,active,tracking,76.77,,,,0,
478,1777427231.645213,2.043,2.084,,40.676,,31.813,4.392,,active,tracking,84.24,,,,0,
479,1777427231.682688,2.134,2.229,,37.273,,32.563,0.005,,active,tracking,88.37,,,,0,
480,1777427231.722412,2.600,2.014,,37.771,,32.844,0.005,,active,tracking,94.74,,,,0,
481,1777427231.763600,2.038,2.022,,41.053,,32.099,4.565,,active,tracking,69.20,,,,0,
482,1777427231.799536,2.047,2.023,,35.791,,31.394,0.005,,active,tracking,71.74,,,,0,
483,1777427231.835924,1.983,2.016,,36.246,,31.917,0.004,,active,tracking,74.79,,,,0,
484,1777427231.876500,1.990,2.033,,40.430,,31.539,4.531,,active,tracking,81.99,,,,0,
485,1777427231.912800,2.142,2.062,,36.155,,31.611,0.004,,active,tracking,84.92,,,,0,
486,1777427231.949950,2.116,2.077,,36.999,,32.463,0.006,,active,tracking,88.70,,,,0,
487,1777427231.992324,2.123,2.392,,42.229,,32.530,4.857,,active,tracking,97.73,,,,0,
488,1777427232.028259,2.009,2.018,,35.791,,31.410,0.005,,active,tracking,66.94,,,,0,
489,1777427232.064380,1.998,2.062,,35.983,,31.596,0.005,,active,tracking,69.68,,,,0,
490,1777427232.104846,1.995,2.001,,40.320,,31.355,4.638,,active,tracking,76.80,,,,0,
491,1777427232.144853,2.147,2.253,,39.859,,35.112,0.006,,active,tracking,83.44,,,,0,
492,1777427232.181706,2.098,2.099,,36.700,,32.159,0.005,,active,tracking,86.90,,,,0,
493,1777427232.223732,2.059,2.255,,41.882,,32.339,4.739,,active,tracking,95.58,,,,0,
494,1777427232.260034,2.023,2.095,,36.162,,31.717,0.006,,active,tracking,65.16,,,,0,
495,1777427232.295983,1.960,2.012,,35.808,,31.509,0.005,,active,tracking,67.75,,,,0,
496,1777427232.336332,2.003,2.001,,40.206,,31.422,4.448,,active,tracking,74.73,,,,0,
497,1777427232.372539,2.041,2.034,,36.062,,31.653,0.005,,active,tracking,77.56,,,,0,
498,1777427232.408778,2.021,2.023,,36.097,,31.728,0.005,,active,tracking,80.44,,,,0,
499,1777427232.450030,2.044,2.077,,41.109,,31.888,4.760,,active,tracking,88.32,,,,0,
500,1777427232.487481,2.148,2.369,,37.305,,32.405,0.005,,active,tracking,92.42,,,,0,
501,1777427232.524604,2.006,2.005,,36.991,,32.594,0.005,,active,tracking,96.18,,,,0,
502,1777427232.565326,1.867,2.036,,40.455,,31.768,4.448,,active,tracking,70.17,,,,0,
503,1777427232.601708,2.000,2.057,,36.192,,31.803,0.004,,active,tracking,73.19,,,,0,
504,1777427232.637802,1.942,2.056,,35.957,,31.628,0.005,,active,tracking,75.92,,,,0,
505,1777427232.679219,1.947,2.333,,41.277,,31.981,4.670,,active,tracking,83.96,,,,0,
506,1777427232.716192,2.186,2.066,,36.821,,32.225,0.006,,active,tracking,87.57,,,,0,
507,1777427232.753778,2.136,2.347,,37.438,,32.645,0.005,,active,tracking,91.80,,,,0,
508,1777427232.795184,2.032,2.059,,41.214,,32.247,4.474,,active,tracking,99.84,,,,0,
509,1777427232.831423,2.000,2.064,,36.098,,31.705,0.004,,active,tracking,69.35,,,,0,
510,1777427232.867423,1.992,2.040,,35.858,,31.492,0.006,,active,tracking,71.99,,,,0,
511,1777427232.908522,1.986,2.010,,40.953,,31.924,4.700,,active,tracking,79.71,,,,0,
512,1777427232.944883,2.082,2.069,,36.224,,31.729,0.005,,active,tracking,82.71,,,,0,
513,1777427232.981840,2.109,2.039,,36.809,,32.318,0.005,,active,tracking,86.29,,,,0,
514,1777427233.023620,2.076,2.179,,41.638,,32.321,4.715,,active,tracking,94.73,,,,0,
515,1777427233.060366,1.973,2.028,,36.607,,32.282,0.005,,active,tracking,64.74,,,,0,
516,1777427233.096192,1.981,2.012,,35.684,,31.370,0.005,,active,tracking,67.18,,,,0,
517,1777427233.139755,1.982,2.029,,43.421,,34.527,4.548,,active,tracking,77.41,,,,0,
518,1777427233.176302,2.073,2.023,,36.403,,31.969,0.005,,active,tracking,80.57,,,,0,
519,1777427233.213048,2.050,2.081,,36.604,,32.133,0.005,,active,tracking,83.96,,,,0,
520,1777427233.254609,2.161,2.166,,41.406,,32.241,4.502,,active,tracking,92.17,,,,0,
521,1777427233.291321,1.920,2.059,,36.576,,32.274,0.006,,active,tracking,62.15,,,,0,
522,1777427233.327554,1.888,2.069,,36.093,,31.818,0.005,,active,tracking,65.01,,,,0,
523,1777427233.368255,1.977,2.031,,40.559,,31.659,4.556,,active,tracking,72.35,,,,0,
524,1777427233.404631,2.054,2.046,,36.230,,31.799,0.005,,active,tracking,75.36,,,,0,
525,1777427233.441039,1.983,2.028,,36.265,,31.922,0.006,,active,tracking,78.39,,,,0,
526,1777427233.482467,2.050,2.002,,41.247,,32.281,4.573,,active,tracking,86.46,,,,0,
527,1777427233.519663,2.135,2.311,,37.049,,32.245,0.005,,active,tracking,90.29,,,,0,
528,1777427233.557003,2.169,2.056,,37.208,,32.381,0.004,,active,tracking,94.28,,,,0,
529,1777427233.598427,2.189,1.998,,41.301,,32.276,4.512,,active,tracking,68.97,,,,0,
530,1777427233.634417,1.993,2.042,,35.849,,31.489,0.004,,active,tracking,71.59,,,,0,
531,1777427233.670650,1.952,2.068,,36.090,,31.744,0.005,,active,tracking,74.47,,,,0,
532,1777427233.711552,2.124,2.073,,40.758,,31.733,4.486,,active,tracking,82.00,,,,0,
533,1777427233.748193,2.151,2.076,,36.490,,31.910,0.004,,active,tracking,85.27,,,,0,
534,1777427233.785056,2.137,2.098,,36.710,,32.134,0.005,,active,tracking,88.76,,,,0,
535,1777427233.827436,2.115,2.379,,42.230,,32.445,4.922,,active,tracking,97.79,,,,0,
536,1777427233.863487,2.014,2.021,,35.908,,31.539,0.005,,active,tracking,67.12,,,,0,
537,1777427233.899572,1.983,2.006,,35.947,,31.633,0.005,,active,tracking,69.84,,,,0,
538,1777427233.939976,1.994,2.013,,40.262,,31.434,4.487,,active,tracking,76.87,,,,0,
539,1777427233.976254,2.081,2.027,,36.134,,31.682,0.005,,active,tracking,79.77,,,,0,
540,1777427234.014828,2.175,2.162,,36.782,,32.102,0.006,,active,tracking,84.97,,,,0,
541,1777427234.056653,2.038,2.105,,41.675,,32.557,4.629,,active,tracking,93.46,,,,0,
542,1777427234.093077,1.994,2.009,,36.290,,31.982,0.004,,active,tracking,63.15,,,,0,
543,1777427234.132715,1.946,2.025,,39.505,,35.210,0.004,,active,tracking,69.42,,,,0,
544,1777427234.173198,1.995,2.013,,40.333,,31.403,4.591,,active,tracking,76.54,,,,0,
545,1777427234.209785,2.108,2.127,,36.443,,31.886,0.005,,active,tracking,79.77,,,,0,
546,1777427234.246594,1.994,2.134,,36.681,,32.212,0.005,,active,tracking,83.19,,,,0,
547,1777427234.288408,2.064,2.136,,41.666,,32.386,4.742,,active,tracking,91.67,,,,0,
548,1777427234.325119,1.957,1.997,,36.585,,32.314,0.004,,active,tracking,61.65,,,,0,
549,1777427234.361554,1.937,1.980,,36.293,,32.010,0.005,,active,tracking,64.71,,,,0,
550,1777427234.401980,1.907,2.074,,40.292,,31.468,4.467,,active,tracking,71.76,,,,0,
551,1777427234.438564,2.008,2.073,,36.441,,32.027,0.005,,active,tracking,75.00,,,,0,
552,1777427234.474778,1.942,2.057,,36.072,,31.741,0.005,,active,tracking,77.82,,,,0,
553,1777427234.515855,1.991,2.087,,40.929,,31.886,4.627,,active,tracking,85.55,,,,0,
554,1777427234.552938,2.181,2.092,,36.930,,32.304,0.006,,active,tracking,89.27,,,,0,
555,1777427234.590213,2.180,2.025,,36.963,,32.378,0.006,,active,tracking,93.18,,,,0,
556,1777427234.631819,2.299,2.048,,41.224,,32.067,4.481,,active,tracking,68.06,,,,0,
557,1777427234.667915,2.039,2.014,,35.954,,31.578,0.005,,active,tracking,70.79,,,,0,
558,1777427234.703944,1.995,2.046,,35.886,,31.520,0.005,,active,tracking,73.46,,,,0,
559,1777427234.744903,1.992,2.028,,40.811,,31.901,4.550,,active,tracking,81.04,,,,0,
560,1777427234.781676,2.153,2.073,,36.621,,31.994,0.005,,active,tracking,84.45,,,,0,
561,1777427234.818632,2.048,2.101,,36.816,,32.327,0.005,,active,tracking,88.06,,,,0,
562,1777427234.861202,2.161,2.472,,42.420,,32.535,4.900,,active,tracking,97.26,,,,0,
563,1777427234.897343,2.022,2.176,,35.998,,31.477,0.005,,active,tracking,66.67,,,,0,
564,1777427234.933548,1.947,2.088,,36.018,,31.606,0.005,,active,tracking,69.51,,,,0,
