frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
0,1777426438.046975,297.203,8.550,0.009,306.216,warmup,searching,34.06
1,1777426438.076448,24.156,2.492,2.459,29.398,warmup,searching,30.32
2,1777426438.107618,26.812,2.101,1.426,31.022,warmup,searching,28.11
3,1777426438.142316,29.578,2.418,2.230,34.542,warmup,searching,29.46
4,1777426438.174391,27.759,2.045,1.513,31.935,warmup,searching,28.16
5,1777426438.209016,29.502,2.534,2.193,34.490,warmup,searching,29.43
6,1777426438.240426,27.289,2.040,1.309,31.267,warmup,searching,27.47
7,1777426438.275393,29.936,2.379,2.247,34.826,warmup,searching,29.08
8,1777426438.307271,27.717,2.020,1.374,31.739,warmup,searching,27.59
9,1777426438.342128,29.765,2.452,2.230,34.717,warmup,searching,29.09
10,1777426438.373882,27.597,1.990,1.301,31.613,warmup,searching,27.46
11,1777426438.410889,31.941,2.401,2.257,36.870,warmup,searching,31.12
12,1777426438.440601,25.562,2.067,1.314,29.568,warmup,searching,27.46
13,1777426438.475575,29.918,2.395,2.264,34.840,warmup,searching,29.08
14,1777426438.509484,29.730,2.025,1.330,33.765,warmup,searching,29.61
15,1777426438.542271,27.703,2.448,2.238,32.650,warmup,searching,29.04
16,1777426438.574128,27.704,2.019,1.372,31.718,warmup,searching,27.53
17,1777426438.609000,29.817,2.461,2.194,34.737,warmup,searching,29.04
18,1777426438.640815,27.680,2.045,1.327,31.678,warmup,searching,27.49
19,1777426438.675748,29.877,2.406,2.255,34.797,warmup,searching,29.06
20,1777426438.707597,27.676,2.066,1.335,31.709,warmup,searching,27.54
21,1777426438.742995,30.352,2.391,2.247,35.258,warmup,searching,29.58
22,1777426438.774205,27.085,2.023,1.340,31.073,warmup,searching,27.42
23,1777426438.810222,30.942,2.431,2.237,35.879,warmup,searching,30.08
24,1777426438.840980,26.656,2.052,1.295,30.619,warmup,searching,27.46
25,1777426438.876039,29.960,2.487,2.214,34.923,warmup,searching,29.16
26,1777426438.907765,27.610,2.038,1.314,31.585,warmup,searching,27.51
27,1777426438.942681,29.877,2.407,2.228,34.778,warmup,searching,29.08
28,1777426438.974555,27.564,2.014,1.542,31.735,warmup,searching,27.58
29,1777426439.009537,29.783,2.433,2.337,34.850,warmup,searching,29.21
30,1777426439.040862,27.479,2.056,1.379,31.185,active,searching,27.16,0
31,1777426439.075788,29.994,1.997,2.511,34.782,active,searching,28.72,0
32,1777426439.107906,27.984,2.060,1.614,31.978,active,searching,27.46,0
33,1777426439.142945,29.537,2.368,2.341,34.513,active,searching,29.16,0
34,1777426439.174475,27.546,2.040,1.543,31.389,active,searching,27.31,0
35,1777426439.209593,29.599,2.400,2.312,34.621,active,searching,29.08,0
36,1777426439.241081,27.595,2.059,1.447,31.347,active,searching,27.20,0
37,1777426439.276509,29.790,2.445,2.374,34.879,active,acquiring,29.26,0
38,1777426439.312901,27.394,2.043,1.497,36.236,3.245,1.425,active,tracking,32.28,1,-10.60,5.04,4
39,1777426439.378366,24.316,2.203,,65.323,,,38.449,settle,tracking,64.38,,,,,3
40,1777426439.437675,2.001,2.044,,59.167,,,54.518,settle,tracking,90.32,,,,,2
41,1777426439.496445,2.198,2.066,,58.645,,,54.017,settle,tracking,82.36,,,,,1
42,1777426439.554882,2.192,2.074,,58.272,,,53.662,settle,tracking,107.44,,,,,0
43,1777426439.615059,2.068,2.059,,60.022,,1.394,54.046,active,tracking,100.91,1,-6.92,2.08,2,
44,1777426439.672743,1.998,2.044,,57.555,,,53.174,settle,tracking,91.84,,,,,1
45,1777426439.731266,2.056,1.999,,58.368,,,53.951,settle,tracking,83.61,,,,,0
46,1777426439.791224,2.224,2.060,,59.798,,1.413,53.729,active,tracking,110.24,1,-4.52,1.16,2,
47,1777426439.849938,2.059,2.046,,58.583,,,54.133,settle,tracking,102.21,,,,,1
48,1777426439.907655,2.045,2.037,,57.569,,,53.144,settle,tracking,93.20,,,,,0
49,1777426439.936514,2.043,2.019,,28.695,,,24.271,active,tracking,55.33,0,,,,
50,1777426439.964718,2.632,2.009,,28.048,,,23.069,active,tracking,50.15,0,,,,
51,1777426439.997492,7.184,2.061,,32.623,,,22.976,active,tracking,49.58,0,,,,
52,1777426440.030403,7.677,2.044,,32.761,,,22.729,active,tracking,49.13,0,,,,
53,1777426440.068061,11.117,2.008,,37.513,,,22.614,active,lost,53.42,0,,,,
54,1777426440.077093,4.753,2.041,1.807,8.854,,,,active,acquiring,29.09,0,,,,
55,1777426440.118490,27.667,2.068,1.995,41.230,7.314,1.525,,active,tracking,37.13,1,-3.64,-0.92,2,
56,1777426440.219604,19.931,2.149,,100.958,,,78.541,settle,tracking,104.87,,,,,1
57,1777426440.359906,2.087,2.023,,140.149,,,135.689,settle,tracking,178.45,,,,,0
58,1777426440.431175,2.148,2.088,,71.099,,,66.549,active,tracking,116.26,0,,,,
59,1777426440.500813,2.115,2.090,,69.497,,,64.962,active,tracking,119.17,0,,,,
60,1777426440.571098,2.191,2.608,,69.649,,,64.568,active,tracking,122.73,0,,,,
61,1777426440.640311,2.048,2.055,,69.086,,,64.698,active,tracking,91.85,0,,,,
62,1777426440.711147,1.984,2.015,,70.709,,,64.433,active,lost,95.95,0,,,,
63,1777426440.719030,2.061,2.209,3.202,7.742,,,,active,acquiring,37.10,0,,,,
64,1777426440.743085,20.206,2.020,1.416,23.908,,,,active,searching,27.80,0,,,,
65,1777426440.775818,28.886,2.057,1.397,32.586,,,,active,searching,27.17,0,,,,
66,1777426440.809044,29.366,2.061,1.402,33.078,,,,active,searching,27.02,0,,,,
67,1777426440.842475,29.583,1.985,1.463,33.279,,,,active,searching,27.09,0,,,,
68,1777426440.875934,29.640,2.051,1.379,33.316,,,,active,searching,27.19,0,,,,
69,1777426440.909200,29.465,2.009,1.394,33.115,,,,active,searching,27.08,0,,,,
70,1777426440.942522,29.486,1.991,1.442,33.172,,,,active,searching,27.04,0,,,,
